decimalLatitude,decimalLongitude,eventDate,scientificName,taxonConceptID,recordID,dataResourceName,occurrenceStatus,date,excluded_notes,geometry,state
-50.5,166.3,NA,Oryctolagus cuniculus,https://biodiversity.org.au/afd/taxa/692effa3-b719-495f-a86f-ce89e2981652,21dc4d69-d615-4979-bc48-e357976d8e83,Australian Museum provider for OZCAM,PRESENT,2023-10-16,These data points have a missing eventDate value.,"c(NA, NA)",NA
-43.390789,146.906309,NA,Oryctolagus cuniculus cuniculus,https://biodiversity.org.au/afd/taxa/a9a44f03-07d0-4ffa-8bbb-eb92c8768141,6e6fb117-4175-4770-b7f4-ffa5ee966720,Tasmanian Natural Values Atlas,PRESENT,2023-10-16,These data points have a missing eventDate value.,"c(NA, NA)",NA
-43.381776,146.896447,NA,Oryctolagus cuniculus cuniculus,https://biodiversity.org.au/afd/taxa/a9a44f03-07d0-4ffa-8bbb-eb92c8768141,dd189c8d-91ee-4362-bdb1-677d48da3124,Tasmanian Natural Values Atlas,PRESENT,2023-10-16,These data points have a missing eventDate value.,"c(NA, NA)",NA
-43.3683,146.938435,NA,Oryctolagus cuniculus cuniculus,https://biodiversity.org.au/afd/taxa/a9a44f03-07d0-4ffa-8bbb-eb92c8768141,83443c29-0516-403e-89f9-e5637f45d4bb,Tasmanian Natural Values Atlas,PRESENT,2023-10-16,These data points have a missing eventDate value.,"c(NA, NA)",NA
-43.3683,146.938435,NA,Oryctolagus cuniculus cuniculus,https://biodiversity.org.au/afd/taxa/a9a44f03-07d0-4ffa-8bbb-eb92c8768141,34030aa5-a642-4790-9d57-dc0bc99af3d9,Tasmanian Natural Values Atlas,PRESENT,2023-10-16,These data points have a missing eventDate value.,"c(NA, NA)",NA
-43.3683,146.938435,NA,Oryctolagus cuniculus cuniculus,https://biodiversity.org.au/afd/taxa/a9a44f03-07d0-4ffa-8bbb-eb92c8768141,73914aab-537e-4fe3-93cb-4c98468458a5,Tasmanian Natural Values Atlas,PRESENT,2023-10-16,These data points have a missing eventDate value.,"c(NA, NA)",NA
-43.361088,146.924867,NA,Oryctolagus cuniculus cuniculus,https://biodiversity.org.au/afd/taxa/a9a44f03-07d0-4ffa-8bbb-eb92c8768141,c38f7171-b83a-4cc0-a498-f0eb3b4db96a,Tasmanian Natural Values Atlas,PRESENT,2023-10-16,These data points have a missing eventDate value.,"c(NA, NA)",NA
-43.361088,146.924867,NA,Oryctolagus cuniculus cuniculus,https://biodiversity.org.au/afd/taxa/a9a44f03-07d0-4ffa-8bbb-eb92c8768141,0bbbc7dc-1cb9-477e-bb7d-dc11f2bffd92,Tasmanian Natural Values Atlas,PRESENT,2023-10-16,These data points have a missing eventDate value.,"c(NA, NA)",NA
-43.336792,147.044559,NA,Oryctolagus cuniculus cuniculus,https://biodiversity.org.au/afd/taxa/a9a44f03-07d0-4ffa-8bbb-eb92c8768141,e5f9bff5-132f-473d-992a-dec4a9d3c88e,Tasmanian Natural Values Atlas,PRESENT,2023-10-16,These data points have a missing eventDate value.,"c(NA, NA)",NA
-43.328518,145.965279,NA,Oryctolagus cuniculus cuniculus,https://biodiversity.org.au/afd/taxa/a9a44f03-07d0-4ffa-8bbb-eb92c8768141,b76a46cf-25f8-4f86-b8f6-37cb90710221,Tasmanian Natural Values Atlas,PRESENT,2023-10-16,These data points have a missing eventDate value.,"c(NA, NA)",NA
